query,category,expected,top1_score,top2_score,top3_score,top1_title,top1_place,top1_doc,verdict
Where is Puraran Beach?,specific_place,perfect,1.0,1.0,0.7921,Puraran Beach Location,Puraran Beach,Where is Puraran Beach?,HIGH
Where is Binurong Point located?,specific_place,perfect,0.9714,0.9714,0.8803,Binurong Point Location,Binurong Point,Where is Binurong Point?,HIGH
Where is Nitto Lodge?,specific_place,perfect,0.8883,0.8883,0.7366,Nitto Lodge Location,,Where is Nitto Lodge located in Virac?,HIGH
Where is Twin Rock Beach Resort?,specific_place,perfect,1.0,1.0,0.9919,Twin Rock Resort Location,Twin Rock Beach Resort,Where is Twin Rock Beach Resort?,HIGH
Where is Maribina Falls?,specific_place,perfect,1.0,1.0,0.9565,Maribina Falls Location,Maribina Falls,Where is Maribina Falls?,HIGH
Where is E-Crown Hotel and Resort?,specific_place,perfect,0.9879,0.9879,0.8763,E-Crown Hotel Location,E-Crown Hotel and Resort,Where is E-Crown Hotel and Resort located?,HIGH
Where is Tuwad-Tuwadan Blue Lagoon?,specific_place,perfect,1.0,1.0,0.7804,Tuwad-Tuwadan Blue Lagoon Location,Tuwad-Tuwadan Blue Lagoon,Where is Tuwad-Tuwadan Blue Lagoon?,HIGH
Where is Virac Airport?,specific_place,perfect,1.0,0.8016,0.6947,Virac Airport Location,Virac Airport,Where is Virac Airport?,HIGH
Where is Rhaj Inn?,specific_place,perfect,1.0,0.9859,0.7231,Rhaj Inn Location,Rhaj Inn,Where is Rhaj Inn?,HIGH
Where is Nahulugan Falls?,specific_place,perfect,1.0,1.0,1.0,Nahulugan Falls Overview,Nahulugan Falls,Where is Nahulugan Falls?,HIGH
hotels in virac,browsing,perfect,0.6951,0.656,0.6551,Getting from Virac Port to Town,Virac Town Center,How do I get from Virac Port to the town center or my hotel?,MEDIUM
beaches in catanduanes for swimming,browsing,perfect,0.8733,0.8313,0.8015,Best Beaches for Swimming and Snorkeling,Twin Rock Beach Resort,Best beaches in Catanduanes for swimming and snorkeling.,HIGH
waterfalls near virac,browsing,perfect,0.6535,0.6474,0.5873,Best Waterfalls in Catanduanes,Maribina Falls,Beautiful waterfalls in Catanduanes,MEDIUM
where to eat cheap in virac,browsing,perfect,0.887,0.885,0.7651,Cheap Affordable Food in Virac,Virac Public Market,Cheap places to eat in Virac Catanduanes,HIGH
tourist spots in baras,browsing,perfect,0.7657,0.6597,0.6426,Baras Location,,Where is Baras located?,MEDIUM
coffee shops virac,browsing,perfect,0.6932,0.6684,0.6408,Virac Public Market Location,Virac Public Market,Where is Virac Public Market?,MEDIUM
resorts in pandan catanduanes,browsing,perfect,0.6761,0.6703,0.6349,Tourist Spots and Activities in Pandan,Tuwad-Tuwadan Blue Lagoon,What can I do in Pandan municipality? Tourist spots in Pandan.,MEDIUM
accommodation in bato,browsing,partial,0.6682,0.575,0.537,What to Do and See in Bato,St. John the Baptist Church,What is there to see in Bato municipality?,MEDIUM
restaurants in gigmoto,browsing,partial,0.63,0.5468,0.5468,What to Do in Gigmoto,Nahulugan Falls,What is there to do in Gigmoto? Is it worth visiting?,LOW
budget hotels catanduanes,browsing,perfect,0.85,0.777,0.6979,Best Budget Accommodation Catanduanes,Nitto Lodge,Best budget accommodation in Catanduanes,HIGH
how much is the entrance fee at Binurong Point,budget,perfect,0.9097,0.9046,0.8309,Binurong Point Entrance Fee and Cost,Binurong Point,What is the entrance fee at Binurong Point?,HIGH
how much does it cost to surf at Puraran,budget,perfect,0.7119,0.6943,0.6082,Puraran Beach Entrance and Surf Rates,Puraran Beach,Is there an entrance fee for Puraran Beach? How much is surfing?,MEDIUM
how much is the ferry from tabaco to virac,budget,perfect,0.9324,0.8034,0.5932,Ferry Ticket Price Tabaco to Virac,Virac Town Center,How much is the ferry from Tabaco to Virac?,HIGH
how much is a stay per night in e-crown hotel,budget,none,0.6783,0.6783,0.6569,E-Crown Hotel Location,E-Crown Hotel and Resort,Is E-Crown Hotel and Resort a luxury option?,MEDIUM
